fecha,casos_total,total_test,fallecimientos,ingresos_uci,hospitalizados
2/1/2020,1,,,,
2/2/2020,1,,,,
2/3/2020,1,,,,
2/4/2020,1,,,,
2/5/2020,1,,,,
2/6/2020,1,,,,
2/7/2020,1,,,,
2/8/2020,1,,,,
2/9/2020,2,,,,
2/10/2020,2,,,,
2/11/2020,2,,,,
2/12/2020,2,,,,
2/13/2020,2,,,,
2/14/2020,2,,,,
2/15/2020,2,,,,
2/16/2020,2,,,,
2/17/2020,2,,,,
2/18/2020,2,,,,
2/19/2020,2,,,,
2/20/2020,2,,,,
2/21/2020,2,,,,
2/22/2020,2,,,,
2/23/2020,2,,,,
2/24/2020,2,,,,
2/25/2020,6,,,,
2/26/2020,13,,,,
2/27/2020,15,,,,
2/28/2020,32,,,,
2/29/2020,45,,,,
3/1/2020,84,,,,
3/2/2020,120,,,,
3/3/2020,165,,1,,
3/4/2020,222,,2,,
3/5/2020,259,,3,,
3/6/2020,400,,5,,
3/7/2020,500,,10,,
3/8/2020,673,,17,,
3/9/2020,1073,,28,,
3/10/2020,1695,,35,,
3/11/2020,2277,,54,,
3/12/2020,2277,,55,,
3/13/2020,5232,,133,,
3/14/2020,6391,,195,,
3/15/2020,7798,6303,289,,
3/16/2020,9942,15353,342,,
3/17/2020,11748,27043,533,,
3/18/2020,13910,39815,623,,
3/19/2020,17963,54738,830,,
3/20/2020,20410,70912,1043,,
3/21/2020,25374,85140,1375,,
3/22/2020,28768,97402,1772,,
3/23/2020,35136,115234,2311,,
3/24/2020,39885,137239,2808,,
3/25/2020,49515,161172,3647,,
3/26/2020,57786,186685,4365,,
3/27/2020,65719,212601,5138,,
3/28/2020,73235,233115,5982,,
3/29/2020,80110,248709,6803,,
3/30/2020,87956,271554,7716,,
3/31/2020,95923,297156,8464,,
4/1/2020,104118,322879,9387,,
4/2/2020,112065,350110,10348,,
4/3/2020,119199,377762,11198,,
4/4/2020,126168,397733,11947,,
4/5/2020,131646,412018,12641,,
