fecha;casos_total;total_test;fallecimientos;ingresos_uci;hospitalizados
01/02/2020;1;;;;
02/02/2020;1;;;;
03/02/2020;1;;;;
04/02/2020;1;;;;
05/02/2020;1;;;;
06/02/2020;1;;;;
07/02/2020;1;;;;
08/02/2020;1;;;;
09/02/2020;2;;;;
10/02/2020;2;;;;
11/02/2020;2;;;;
12/02/2020;2;;;;
13/02/2020;2;;;;
14/02/2020;2;;;;
15/02/2020;2;;;;
16/02/2020;2;;;;
17/02/2020;2;;;;
18/02/2020;2;;;;
19/02/2020;2;;;;
20/02/2020;2;;;;
21/02/2020;2;;;;
22/02/2020;2;;;;
23/02/2020;2;;;;
24/02/2020;2;;;;
25/02/2020;6;;;;
26/02/2020;13;;;;
27/02/2020;15;;;;
28/02/2020;32;;;;
29/02/2020;45;;;;
01/03/2020;84;;;;
02/03/2020;120;;;;
03/03/2020;165;;1;;
04/03/2020;222;;2;;
05/03/2020;259;;3;;
06/03/2020;400;;5;;
07/03/2020;500;;10;;
08/03/2020;673;;17;;
09/03/2020;1073;;28;;
10/03/2020;1695;;35;;
11/03/2020;2277;;54;;
12/03/2020;2277;;55;;
13/03/2020;5232;;133;;
14/03/2020;6391;;195;;
15/03/2020;7798;6303;289;;
16/03/2020;9942;15353;342;;
17/03/2020;11748;27043;533;;
18/03/2020;13910;39815;623;;
19/03/2020;17963;54738;830;;
20/03/2020;20410;70912;1043;;
21/03/2020;25374;85140;1375;;
22/03/2020;28768;97402;1772;;
23/03/2020;35136;115234;2311;;
24/03/2020;39885;137239;2808;;
25/03/2020;49515;161172;3647;;
26/03/2020;57786;186685;4365;;
27/03/2020;65719;212601;5138;;
28/03/2020;73235;233115;5982;;
29/03/2020;80110;248709;6803;;
30/03/2020;87956;271554;7716;;
31/03/2020;95923;297156;8464;;
01/04/2020;104118;322879;9387;;
02/04/2020;112065;350110;10348;;
03/04/2020;119199;377762;11198;;
04/04/2020;126168;397733;11947;;
05/04/2020;131646;412018;12641;;
06/04/2020;136675;434413;13341;;
07/04/2020;141942;460415;14045;;
08/04/2020;148220;488650;14792;;
09/04/2020;153222;517144;15447;;
10/04/2020;158273;540059;16081;;
11/04/2020;163027;557355;16606;;
12/04/2020;166831;573247;17209;;
13/04/2020;170099;594179;17756;;
14/04/2020;172541;623133;18056;;
15/04/2020;177644;655168;18708;;
16/04/2020;184948;687037;19315;;
17/04/2020;190839;721168;20002;;
18/04/2020;191726;749392;20043;;
19/04/2020;198674;770551;20453;;
20/04/2020;200210;799754;20852;;
21/04/2020;204178;840874;21282;;
22/04/2020;208389;881867;21717;;
23/04/2020;213024;922905;22157;;
24/04/2020;202990;970291;22524;;
25/04/2020;205905;1002212;22902;;
26/04/2020;207634;1025016;23190;;
27/04/2020;209465;1059463;23521;;
28/04/2020;210773;1107320;23822;;
29/04/2020;212917;1152098;24275;;
30/04/2020;213435;1195833;24543;;
01/05/2020;215216;1226109;24543;;
02/05/2020;216582;1247065;25100;;
03/05/2020;217466;1263049;25264;;
04/05/2020;218011;1293744;25428;;
05/05/2020;219329;1337126;25613;;
06/05/2020;220325;1380150;25857;;
07/05/2020;221447;1423631;26070;;
08/05/2020;222857;1466486;26299;;
09/05/2020;223578;1496679;26478;;
10/05/2020;224350;1512232;26621;;
11/05/2020;227436;1544986;26744;;
12/05/2020;228030;1588127;26920;;
13/05/2020;228691;1634288;27104;;
14/05/2020;229540;1679538;27321;;
15/05/2020;230183;1724915;27459;;
16/05/2020;230698;1753497;27563;;
17/05/2020;230698;1768596;27563;;
18/05/2020;231606;1800952;27709;;
19/05/2020;232037;1846355;27778;;
20/05/2020;232555;1891921;27888;;
21/05/2020;233037;1935591;27940;;
22/05/2020;234824;1980062;28628;;
23/05/2020;235290;2008016;28678;;
24/05/2020;235772;2023935;28752;;
25/05/2020;235400;2056658;26834;;
26/05/2020;236259;2102269;27117;;
27/05/2020;236259;2147190;27117;;
28/05/2020;237906;2187685;27119;;
29/05/2020;238564;2232109;27121;;
30/05/2020;239228;2259263;27125;;
31/05/2020;239479;2274138;27127;;
01/06/2020;239638;2304445;27127;;
02/06/2020;239932;2349216;27127;;
03/06/2020;240326;2392957;27128;;
04/06/2020;240660;2432192;27133;;
05/06/2020;240978;2474044;27134;;
06/06/2020;241310;2499707;27135;;
07/06/2020;241550;2513229;27136;;
08/06/2020;241717;2545416;27136;;
09/06/2020;241966;2587861;27136;;
10/06/2020;242280;2628533;27136;;
11/06/2020;242707;2664208;27136;;
12/06/2020;243209;2706770;27136;;
13/06/2020;243605;2731144;27136;;
14/06/2020;243928;2745903;27136;;
15/06/2020;244109;2778548;27136;;
16/06/2020;244328;2819649;27136;;
17/06/2020;244683;2859203;27136;;
18/06/2020;245268;2893300;27136;;
19/06/2020;245575;2932208;28315;;
20/06/2020;245938;2956809;28322;;
21/06/2020;246272;2969844;28323;;
22/06/2020;246504;3000253;28324;;
23/06/2020;246752;3042150;28325;;
24/06/2020;247086;3075983;28327;;
25/06/2020;247486;3109329;28330;;
26/06/2020;247905;3152382;28338;;
27/06/2020;248469;3176733;28341;;
28/06/2020;248770;3192725;28343;;
29/06/2020;248970;3224846;28346;;
30/06/2020;249271;3266953;28355;;
01/07/2020;249659;3306143;28364;;
02/07/2020;250103;3340294;28368;;
03/07/2020;250545;3378511;28385;;
04/07/2020;250545;3401905;28385;;
05/07/2020;250545;3416512;28385;;
06/07/2020;251789;3446847;28388;;
07/07/2020;252130;3488445;28392;;
08/07/2020;252513;3528125;28396;;
09/07/2020;253056;3564658;28401;;
10/07/2020;253908;3605088;28403;;
11/07/2020;253908;3632528;28403;;
12/07/2020;253908;3648831;28403;;
13/07/2020;255953;3682840;28406;;
14/07/2020;256619;3726193;28409;;
15/07/2020;257494;3771744;28413;;
16/07/2020;258855;3814961;28416;;
17/07/2020;260255;3862263;28420;;
18/07/2020;260255;3895943;28420;;
19/07/2020;260255;3916957;28420;;
20/07/2020;264836;3957570;28422;;
21/07/2020;266194;4009574;28424;;
22/07/2020;267551;4062333;28426;;
23/07/2020;270166;4113915;28429;;
24/07/2020;272421;4168642;28432;;
25/07/2020;272421;4205506;28432;;
26/07/2020;272421;4229695;28432;;
27/07/2020;278782;4274862;28434;;
28/07/2020;280610;4332039;28436;;
29/07/2020;282641;4393052;28441;;
30/07/2020;285430;4450828;28443;;
31/07/2020;288522;4512160;28445;;
01/08/2020;288522;4552379;28445;250;2083
02/08/2020;288522;4578801;28445;282;2325
03/08/2020;297054;4628536;28472;293;2370
04/08/2020;302814;4692618;28498;311;2405
05/08/2020;305767;4758460;28499;307;2514
06/08/2020;309855;4823171;28500;323;2756
07/08/2020;314362;4893976;28503;341;2659
08/08/2020;314362;4946707;28503;340;2630
09/08/2020;314362;4979647;28503;378;3084
10/08/2020;322980;5037175;28576;370;2975
11/08/2020;326612;5114025;28581;402;3054
12/08/2020;329784;5189496;28579;415;3203
13/08/2020;337334;5268126;28605;438;3319
14/08/2020;342813;5354588;28617;455;3346
15/08/2020;342813;5416340;28617;457;3409
16/08/2020;342813;5455979;28617;494;3842
17/08/2020;359082;5520001;28646;511;4190
18/08/2020;364196;5606381;28670;531;4157
19/08/2020;370867;5696700;28797;547;4292
20/08/2020;377906;5788527;28813;572;4354
21/08/2020;386054;5891529;28838;600;4340
22/08/2020;386054;5963811;28838;610;4405
23/08/2020;386054;6012405;28838;675;4964
24/08/2020;405436;6090704;28872;703;5245
25/08/2020;412553;6190423;28924;720;5431
26/08/2020;419849;6300350;28971;737;5430
27/08/2020;429507;6405233;28996;773;5753
28/08/2020;439286;6517492;29011;812;5666
29/08/2020;439286;6595701;29011;827;5725
30/08/2020;439286;6655170;29011;866;6498
31/08/2020;462858;6743221;29094;879;6300
01/09/2020;470973;6854271;29152;916;6325
02/09/2020;479554;6966748;29194;948;6404
03/09/2020;488513;7080962;29234;979;6455
04/09/2020;498989;7201950;29418;990;6374
05/09/2020;498989;7284317;29418;1000;6532
06/09/2020;498989;7343123;29418;1075;7146
07/09/2020;525549;7428978;29516;1108;7218
08/09/2020;534513;7534417;29594;1136;7344
09/09/2020;543379;7642998;29628;1160;7461
10/09/2020;554143;7759592;29699;1181;7500
11/09/2020;566326;7866614;29747;1206;7476
12/09/2020;566326;7954390;29747;1190;7641
13/09/2020;566326;8012342;29747;1252;8484
14/09/2020;593730;8102659;29848;1281;8698
15/09/2020;603167;8218836;30004;1282;8573
16/09/2020;614360;8342898;30243;1333;8825
17/09/2020;625651;8470894;30405;1343;8736
18/09/2020;640040;8605208;30495;1375;8651
19/09/2020;640040;8707221;30495;1376;8783
20/09/2020;640040;8776338;30495;1425;9680
21/09/2020;671468;8879241;30663;1438;9454
22/09/2020;682267;9014080;30904;1436;9357
23/09/2020;693556;9149022;31034;1449;9657
24/09/2020;704209;9277778;31118;1465;9578
25/09/2020;716481;9421642;31232;1487;9217
26/09/2020;716481;9525061;31232;1499;9310
27/09/2020;716481;9593651;31232;1537;9730
28/09/2020;748266;9695411;31411;1543;9470
29/09/2020;748266;9831722;31411;1539;9223
30/09/2020;769188;9970788;31791;1561;9279
01/10/2020;778607;10101766;31973;1566;8821
02/10/2020;789932;10244355;32086;1594;8954
03/10/2020;789932;10335947;32086;1560;8662
04/10/2020;789932;10393029;32086;1580;9310
05/10/2020;813412;10498735;32225;1544;9150
06/10/2020;825410;10644511;32486;1568;9034
07/10/2020;835901;10784927;32562;1585;9036
08/10/2020;848324;10924547;32688;1590;8939
09/10/2020;861112;11062144;32929;1581;8543
10/10/2020;861112;11153021;32929;1580;8626
11/10/2020;861112;11211741;32929;1582;8815
12/10/2020;888968;11266217;33124;1628;9797
13/10/2020;896086;11388404;33204;1652;9987
14/10/2020;908056;11544148;33413;1702;9977
15/10/2020;921374;11705775;33553;1739;10103
16/10/2020;936560;11873755;33775;1767;9805
17/10/2020;936560;11987019;33775;1776;9853
18/10/2020;936560;12061200;33775;1860;11087
19/10/2020;974449;12203998;33992;1916;11403
20/10/2020;988322;12387197;34210;1930;11681
21/10/2020;1005295;12573555;34366;1979;12386
22/10/2020;1026281;12757500;34521;2031;12507
23/10/2020;1046132;12957027;34752;2116;12566
24/10/2020;1046132;13082113;34752;2135;13301
25/10/2020;1046132;13169088;34752;2210;14053
26/10/2020;1098320;13335309;35031;2298;14428
27/10/2020;1116738;13548315;35298;2368;14532
28/10/2020;1136503;13760017;35466;2399;14953
29/10/2020;1160083;13965646;35639;2482;15559
30/10/2020;1185678;14179406;35878;2546;15002
31/10/2020;1185678;14317126;35878;2563;15168
01/11/2020;1185678;14409851;35878;2650;16396
02/11/2020;1240697;14545285;36257;2764;17084
03/11/2020;1259366;14740384;36495;2786;17330
04/11/2020;1284408;14946707;38118;2802;17271
05/11/2020;1306316;15147254;38486;2863;17174
06/11/2020;1328832;15353582;38833;2932;16535
07/11/2020;1328832;15484182;38833;2937;16683
08/11/2020;1328832;15581564;38833;3048;18025
09/11/2020;1381218;15745393;39345;3066;17767
10/11/2020;1381218;15949797;39345;3093;17695
11/11/2020;1417709;16145738;40105;3121;17212
12/11/2020;1437220;16333894;40461;3125;16983
13/11/2020;1458591;16524635;40769;3108;16204
14/11/2020;1458591;16640057;40769;3110;16174
15/11/2020;1458591;16730473;40769;3165;17125
16/11/2020;1496864;16891051;41253;3127;16646
17/11/2020;1510023;17077921;41688;3120;16133
18/11/2020;1525341;17247083;42039;3127;15497
19/11/2020;1541574;17408547;42291;3092;14706
20/11/2020;1556730;17569788;42619;2961;13647
21/11/2020;1556730;17662000;42619;2955;13778
22/11/2020;1556730;17731845;42619;2925;14586
23/11/2020;1582616;17871408;43131;2861;13669
24/11/2020;1594844;18033315;43668;2838;12996
25/11/2020;1605066;18188033;44037;2815;12356
26/11/2020;1617355;18335450;44374;2774;11878
27/11/2020;1628208;18506080;44668;2689;11121
28/11/2020;1628208;18597058;44668;2680;11155
29/11/2020;1628208;18654095;44668;2641;11801
30/11/2020;1648187;18787508;45069;2590;11576
01/12/2020;1656444;18952120;45511;2484;10967
02/12/2020;1665775;19110876;45784;2437;10521
03/12/2020;1675902;19260026;46038;2368;10050
04/12/2020;1684647;19407477;46252;2290;9275
05/12/2020;1684647;19490762;46252;2279;9272
06/12/2020;1684647;19543388;46252;2251;9582
07/12/2020;1702328;19640461;46646;2172;9417
08/12/2020;1702328;19707009;46646;2179;9874
09/12/2020;1712101;19851537;47019;2153;9623
10/12/2020;1720056;20015992;47344;2100;9471
11/12/2020;1730575;20183468;47624;2079;8974
12/12/2020;1730575;20281676;47624;2058;9003
